Genus,Image Count,,
Physalacria,5,,
Cantharellus,4,,
Graphis,4,,
Beauveria,4,,
Aurantiporus,4,,
Lactocollybia,4,,
Akanthomyces,4,,
Cryptothecia,4,,
Buellia,4,,
Cladia,4,,
Artomyces,4,,
Byssoloma,4,,
Trichaptum,4,,
Fusarium,4,,
Chaetopsina,4,,
Helicogonium,4,,
Punctularia,4,,
Campanella,4,,
Hyphopolynema,4,,
Propolis,4,,
Haplotrichum,4,,
Hydnangium,4,,
Geoglossum,4,,
Nipterella,4,,
Bulgaria,4,,
Cuphophyllus,4,,
Dictyopanus,4,,
Albotricha,4,,
Melanophyllum,4,,
Sclerococcum,4,,
Cosmospora,4,,
Platypeltella,4,,
Redingeria,4,,
Escovopsis,4,,
Valsa,4,,
Clavulina,4,,
Ascotremella,4,,
Amauroderma,3,,
Cora,3,,
Lobaria,3,,
Hemileia,3,,
Tricholoma,3,,
Retiboletus,3,,
Coccocarpia,3,,
Arthonia,3,,
Ocellularia,3,,
Bacidia,3,,
Pseudohydnum,3,,
Aspergillus,3,,
Phaeolus,3,,
Hydnopolyporus,3,,
Fuscoporia,3,,
Xerocomus,3,,
Junghuhnia,3,,
Pseudophacidium,3,,
Dialonectria,3,,
Sphaerodothis,3,,
Passalora,3,,
Mazosia,3,,
Mycosyrinx,3,,
Bovista,3,,
Placopsis,3,,
Macronectria,3,,
Hypoderma,3,,
Trichothelium,3,,
Ionomidotis,3,,
Inocybe,3,,
Micromphale,3,,
Hericium,3,,
Hyphoderma,3,,
Calonectria,3,,
Perrotia,3,,
Pleuroflammula,3,,
Cytospora,3,,
Cystobasidium,3,,
Camarops,3,,
Xanthonectria,3,,
Phylloporia,3,,
Byssolecania,3,,
Fistulina,3,,
Apostemidium,3,,
Fayodia,3,,
Flabellimycena,3,,
Helotium,3,,
Porina,2,,
Lecanora,2,,
Diorygma,2,,
Sarcographa,2,,
Phaeographis,2,,
Caloplaca,2,,
Arthothelium,2,,
Myriotrema,2,,
Varicellaria,2,,
Dictyonema,2,,
Scutellinia,2,,
Megasporoporia,2,,
Entonaema,2,,
Fomitiporia,2,,
Resupinatus,2,,
Kuehneromyces,2,,
Pyrrhoglossum,2,,
Icmadophila,2,,
Heterochaete,2,,
Skeletocutis,2,,
Myxarium,2,,
Chaetotyphula,2,,
Chlorosplenium,2,,
Helicosporium,2,,
Peyronellaea,2,,
Achorella,2,,
Uredo,2,,
Uromyces,2,,
Alectoria,2,,
Umbilicaria,2,,
Anisomeridium,2,,
Omphalina,2,,
Thelephora,2,,
Aleurodiscus,2,,
Thamnolia,2,,
Hygrophorus,2,,
Phaeomarasmius,2,,
Mollisina,2,,
Arthopyrenia,2,,
Diacanthodes,2,,
Dactylosporina,2,,
Bioscypha,2,,
Humaria,2,,
Calostilbe,2,,
Podaxis,2,,
Clathroporina,2,,
Strigula,2,,
Melchioria,2,,
Pseudocosmospora,2,,
Subulicystidium,2,,
Brachysporium,2,,
Cryptodiscus,2,,
Eriopezia,2,,
Coriolus,2,,
Cercophora,2,,
Corallonectria,2,,
Heliocybe,2,,
Scytinostroma,2,,
Eutypa,2,,
Grahamiella,2,,
Pleurocollybia,2,,
Phaeotrabutia,2,,
Oidium,2,,
Sphaerulina,2,,
Incrupila,2,,
Brunnipila,2,,
Lacnellula,2,,
Hymenotorrendiella,2,,
Urceolella,2,,
Phialina,2,,
Unguicularia,2,,
Guepinia,2,,
Pseudopeziza,2,,
Belonopsis,2,,
Chlorencoelia,2,,
Funalia,2,,
Belonium,2,,
Rhodofomitopsis,2,,
Podosporium,2,,
Clithris,2,,
Cantharocybe,2,,
Lysurus,2,,
Infundibulicybe,2,,
Herpotrichia,2,,
Neoclitocybe,2,,
Phaeodepas,2,,
Calyptella,2,,
Parmotrema,1,,
Siphula,1,,
Phyllopsora,1,,
Candelariella,1,,
Glyphis,1,,
Tyromyces,1,,
Crespoa,1,,
Hesperomyces,1,,
Ramboldia,1,,
Lecidea,1,,
Collema,1,,
Ligiella,1,,
Tricharia,1,,
Letrouitia,1,,
Pannaria,1,,
Colletotrichum,1,,
Pisolithus,1,,
Pleurocybella,1,,
Pseudochapsa,1,,
Pterulicium,1,,
Neofusicoccum,1,,
Chiodecton,1,,
Pulveroboletus,1,,
Tolypocladium,1,,
Acrospermum,1,,
Rhizopogon,1,,
Parasiphula,1,,
Mycetinis,1,,
Ascopolyporus,1,,
Helvella,1,,
Perenniporia,1,,
Biostictis,1,,
Bunodophoron,1,,
Tympanis,1,,
Leptogidium,1,,
Baeomyces,1,,
Cetraria,1,,
Parodiella,1,,
Aecidium,1,,
Endophyllum,1,,
Ranadivia,1,,
Pseudoinonotus,1,,
Ochrolechia,1,,
Rhytisma,1,,
Pithyella,1,,
Naemacyclus,1,,
Myriophacidium,1,,
Arthrinium,1,,
Acrostalagmus,1,,
Cystocoleus,1,,
Lepidostroma,1,,
Aphelariopsis,1,,
Phlebiopsis,1,,
Nitschkia,1,,
Podostroma,1,,
Gyalectidium,1,,
Parainoa,1,,
Stegobolus,1,,
Ophiostoma,1,,
Haglundia,1,,
Cheilymenia,1,,
Sphaerostilbella,1,,
Sphaeronaema,1,,
Rhinotrichella,1,,
Peziza,1,,
Peniophora,1,,
Thaxteriella,1,,
Stilbocrea,1,,
Meliola,1,,
Niptera,1,,
Phaeofabraea,1,,
Sparassis,1,,
Helicogloea,1,,
Spinellus,1,,
Dichostereum,1,,
Vararia,1,,
Botryobasidium,1,,
Vizella,1,,
Ijuhya,1,,
Acremonium,1,,
Stylonectria,1,,
Capronia,1,,
Melanotus,1,,
Corynella,1,,
Lasiosphaeria,1,,
Psilachnum,1,,
Boreostereum,1,,
Septobasidium,1,,
Stemphylium,1,,
Chrysocelis,1,,
Vestergrenia,1,,
Trichopezizella,1,,
Amphisphaeria,1,,
Hamatocanthoscypha,1,,
Anthostomella,1,,
Aspidella,1,,
Protocrea,1,,
Cenangium,1,,
Sporophagomyces,1,,
Podosordaria,1,,
Basidiodendron,1,,
Phaeosolenia,1,,
Hypocrea,1,,
Apiospora,1,,
Acanthotrema,1,,
Wirthiotrema,1,,
Boletellus,1,,
Chroodiscus,1,,
Flavobathelium,1,,
Phyllobathelium,1,,
Celothelium,1,,
Piccolia,1,,
Sphaerostilbe,1,,
Waltonia,1,,
Cyanodermella,1,,
Pholiotina,1,,
Epilichen,1,,
Clitopilus,1,,
Henningsomyces,1,,
Neonothopanus,1,,
Melanomphalia,1,,
Nothopanus,1,,
Radiigera,1,,
Callistosporium,1,,
Limacella,1,,
Pseudorhytisma,1,,
Ephelis,1,,
Erinella,1,,
Dermatina,1,,
Parachnopeziza,1,,
Phaeoclavulina,0,,
Phylacia,0,,
Golovinomyces,0,,
Hirsutella,0,,
Paecilomyces,0,,
Physcia,0,,
Eschatogonia,0,,
Hafellia,0,,
Canoparmelia,0,,
Dirinaria,0,,
Hyperphyscia,0,,
Pyxine,0,,
Melanotrema,0,,
Allographa,0,,
Astrothelium,0,,
Trypethelium,0,,
Carbacanthographis,0,,
Chapsa,0,,
Heterodermia,0,,
Malmidea,0,,
Flakea,0,,
Clandestinotrema,0,,
Thelotrema,0,,
Erythrodecton,0,,
Cratiria,0,,
Bacidina,0,,
Creographa,0,,
Notoparmelia,0,,
Polymeridium,0,,
Normandina,0,,
Platygramme,0,,
Polyblastidium,0,,
Bulbothrix,0,,
Astrochapsa,0,,
Lepraria,0,,
Tomnashia,0,,
Parmelia,0,,
Xanthoparmelia,0,,
Parmelinopsis,0,,
Graphina,0,,
Acarospora,0,,
Pseudoparmelia,0,,
Zwackhia,0,,
Aspicilia,0,,
Dichosporidium,0,,
Bacidiopsora,0,,
Rimelia,0,,
Crocynia,0,,
Bactrospora,0,,
Alyxoria,0,,
Stirtonia,0,,
Calogaya,0,,
Leiorreuma,0,,
Lecanographa,0,,
Phaeophyscia,0,,
Lecidella,0,,
Bagliettoa,0,,
Micarea,0,,
Rinodina,0,,
Psiloparmelia,0,,
Endocarpon,0,,
Coniocarpon,0,,
Nigrovothelium,0,,
Dyplolabia,0,,
Constrictolumina,0,,
Fissurina,0,,
Bathelium,0,,
Acanthothecis,0,,
Haematomma,0,,
Phaeographina,0,,
Cresponea,0,,
Myriostigma,0,,
Crypthonia,0,,
Brigantiaea,0,,
Lopezaria,0,,
Scutula,0,,
Echinoplaca,0,,
Rhizocarpon,0,,
Pseudopyrenula,0,,
Parmeliella,0,,
Rhizina,0,,
Dichomitus,0,,
Radulodon,0,,
Claviceps,0,,
Hymenogaster,0,,
Antrodia,0,,
Fulvifomes,0,,
Exidiopsis,0,,
Clavariachaete,0,,
Gloeocantharellus,0,,
Cyanoboletus,0,,
Paxillus,0,,
Pseudocraterellus,0,,
Postia,0,,
Steccherinum,0,,
Monoblastia,0,,
Hanseniaspora,0,,
Phomopsis,0,,
Pyrenochaetopsis,0,,
Debaryomyces,0,,
Yarrowia,0,,
Diaporthe,0,,
Lasiodiplodia,0,,
Neopestalotiopsis,0,,
Penicillium,0,,
Simplicillium,0,,
Caripia,0,,
Amandinea,0,,
Canomaculina,0,,
Gassicurtia,0,,
Lecanactis,0,,
Megalospora,0,,
Albonectria,0,,
Saccharomyces,0,,
Schwanniomyces,0,,
Kodamaea,0,,
Zygosaccharomyces,0,,
Candida,0,,
Clavispora,0,,
Pichia,0,,
Saccharomycodes,0,,
Starmerella,0,,
Wickerhamomyces,0,,
Geotrichum,0,,
Malcolmiella,0,,
Gyalideopsis,0,,
Trigonopsis,0,,
Galactomyces,0,,
Pestalotiopsis,0,,
Viridothelium,0,,
Fellhanera,0,,
Calicium,0,,
Rhodotorula,0,,
Fusicladium,0,,
Purpureocillium,0,,
Gliocladium,0,,
Talaromyces,0,,
Ramariopsis,0,,
Issatchenkia,0,,
Meyerozyma,0,,
Fuscidea,0,,
Verticillium,0,,
Sclerophora,0,,
Leioderma,0,,
Leccinellum,0,,
Camarotella,0,,
Phialemonium,0,,
Aureobasidium,0,,
Cryptococcus,0,,
Rhizoctonia,0,,
Kurtzmaniella,0,,
Bahianora,0,,
Xerocomellus,0,,
Calophyllum,0,,
Melampsora,0,,
Elaphomyces,0,,
Lichen,0,,
Dolichousnea,0,,
Erioderma,0,,
Chaenotheca,0,,
Chaenothecopsis,0,,
Actinoplaca,0,,
Bachmanniomyces,0,,
Deflexula,0,,
Lentinellus,0,,
Hydnellum,0,,
Leucopholiota,0,,
Gomphus,0,,
Lycogalopsis,0,,
Campanophyllum,0,,
Cladina,0,,
Oropogon,0,,
Anzia,0,,
Antrodiella,0,,
Coniophora,0,,
Fibroporia,0,,
Flaviporus,0,,
Bjerkandera,0,,
Xylodon,0,,
Geesterania,0,,
Exidia,0,,
Punctelia,0,,
Parmelina,0,,
Trullella,0,,
Chaconia,0,,
Uredinopsis,0,,
Phakopsora,0,,
Alveolaria,0,,
Cionothrix,0,,
Polioma,0,,
Coleosporium,0,,
Austropuccinia,0,,
Angiopsora,0,,
Entyloma,0,,
Pucciniosira,0,,
Phyllocrea,0,,
Physopella,0,,
Sphenospora,0,,
Laocoon,0,,
Kuehneola,0,,
Paracoccidioides,0,,
Desmella,0,,
Cetrariastrum,0,,
Helminthocarpon,0,,
Opegrapha,0,,
Hemigrapha,0,,
Syncesia,0,,
Cunninghamella,0,,
Neoscytalidium,0,,
Curvularia,0,,
Anthracothecium,0,,
Parmeliopsis,0,,
Melaspilea,0,,
Ampliotrema,0,,
Glaucotrema,0,,
Ampullina,0,,
Lactifluus,0,,
Megalotremis,0,,
Pallidogramme,0,,
Ramaria,0,,
Alternaria,0,,
Nigrospora,0,,
Platythecium,0,,
Hemithecium,0,,
Catillaria,0,,
Lepidocollema,0,,
Sphaerophorus,0,,
Morganella,0,,
Hygroaster,0,,
Phlyctis,0,,
Calopadia,0,,
Candelina,0,,
Brownliella,0,,
Carbonea,0,,
Parmotremopsis,0,,
Leprocaulon,0,,
Lichenopeltella,0,,
Endococcus,0,,
Tephromela,0,,
Trapeliopsis,0,,
Stigmidium,0,,
Megaspora,0,,
Bryoria,0,,
Fouragea,0,,
Stigmatochroma,0,,
Nephroma,0,,
Psoroma,0,,
Metarhizium,0,,
Botrytis,0,,
Moniliophthora,0,,
Glomus,0,,
Acaulospora,0,,
Archaeospora,0,,
Dentiscutata,0,,
Gigaspora,0,,
Scutellospora,0,,
Paraglomus,0,,
Diversispora,0,,
Rhizophagus,0,,
Claroideoglomus,0,,
Gloeophyllum,0,,
Rhizopus,0,,
Gliocephalotrichum,0,,
Paraconiothyrium,0,,
Mucor,0,,
Metacordyceps,0,,
Sarocladium,0,,
Keithomyces,0,,
Gliocladiopsis,0,,
Absidia,0,,
Marquandomyces,0,,
Ascochyta,0,,
Arcopilus,0,,
Cladosporium,0,,
Chaetomium,0,,
Beauveriphora,0,,
Pseudallescheria,0,,
Scopulariopsis,0,,
Gongronella,0,,
Leptotrema,0,,
Sanguinotrema,0,,
Purpurepithecium,0,,
Pseudopestalotiopsis,0,,
Corella,0,,
Gyroporus,0,,
Hydnodon,0,,
Mycomicrothelia,0,,
Huneckia,0,,
Eumitria,0,,
Maronea,0,,
Poria,0,,
Pseudosagedia,0,,
Biatora,0,,
Gyalidea,0,,
Menegazzia,0,,
Lopadium,0,,
Glossodium,0,,
Phyllogloea,0,,
Hydnoporia,0,,
Vainionora,0,,
Mycobonia,0,,
Ricasolia,0,,
Ambispora,0,,
Ramonia,0,,
Gloniella,0,,
Dimerella,0,,
Anthracocystis,0,,
Sidera,0,,
Ceriporia,0,,
Tinctoporellus,0,,
Phellinidium,0,,
Truncospora,0,,
Loweomyces,0,,
Riopa,0,,
Paratomenticola,0,,
Hermatomyces,0,,
Allophoron,0,,
Lithothelium,0,,
Schistophoron,0,,
Sagenidiopsis,0,,
Thalloloma,0,,
Mycoporum,0,,
Leucodecton,0,,
Flegographa,0,,
Sigridea,0,,
Synarthonia,0,,
Rhabdodiscus,0,,
Marchantiana,0,,
Hexagonia,0,,
Tremellodon,0,,
Dermatocarpon,0,,
Racodium,0,,
Peniophorella,0,,
Trechispora,0,,
Dendrothele,0,,
Dentipellis,0,,
Sarcodontia,0,,
Kneiffiella,0,,
Hyphodontia,0,,
Mycoaciella,0,,
Tubulicrinis,0,,
Ramaricium,0,,
Fibricium,0,,
Oliveonia,0,,
Lenzites,0,,
Neuropogon,0,,
Nephromopsis,0,,
Hypogymnia,0,,
Astraeus,0,,
Protoparmelia,0,,
Asterothyrium,0,,
Tapellaria,0,,
Arthrorhaphis,0,,
Sipmaniella,0,,
Protoblastenia,0,,
Polycauliona,0,,
Asterostroma,0,,
Sistotrema,0,,
Brevicellicium,0,,
Xenasma,0,,
Melzerodontia,0,,
Tomentella,0,,
Cinereomycetella,0,,
Szczepkamyces,0,,
Fuscocerrena,0,,
Phlebiella,0,,
Leptocorticium,0,,
Gloeodontia,0,,
Schizopora,0,,
Spongiporus,0,,
Aleurocystis,0,,
Athelia,0,,
Athelopsis,0,,
Corticium,0,,
Cylindrobasidium,0,,
Kurtia,0,,
Mutatoderma,0,,
Lyomyces,0,,
Litschauerella,0,,
Phanerochaete,0,,
Atheliachaete,0,,
Cabalodontia,0,,
Phlebia,0,,
Xenasmatella,0,,
Radulomyces,0,,
Repetobasidium,0,,
Scopuloides,0,,
Sistotremastrum,0,,
Sistotremella,0,,
Sphaerobasidium,0,,
Phlyctibasidium,0,,
Inonotus,0,,
Helicomyces,0,,
Tilletia,0,,
Calocera,0,,
Sebacina,0,,
Volutella,0,,
Pyrofomes,0,,
Psilolechia,0,,
Solorina,0,,
Porpidia,0,,
Norrlinia,0,,
Aphyllotus,0,,
Lichenomphalia,0,,
Trichomerium,0,,
Podoxyphium,0,,
Pyrenodesmia,0,,
Arthrobotrys,0,,
Phialophora,0,,
Starmera,0,,
Phyllophiale,0,,
Contumyces,0,,
Paurocotylis,0,,
Strobilomyces,0,,
Dermocybe,0,,
Gyrodon,0,,
Mycocalicium,0,,
Testudina,0,,
Trinathotrema,0,,
Funneliformis,0,,
Candolleomyces,0,,
Cystodermella,0,,
Odonticium,0,,
Botryodontia,0,,
Cericium,0,,
Alutaceodontia,0,,
Rhizochaete,0,,
Resinicium,0,,
Brevicellopsis,0,,
Baltazaria,0,,
Fibrodontia,0,,
Skvortzovia,0,,
Corneromyces,0,,
Datronia,0,,
Vitreoporus,0,,
Mucronella,0,,
Amaurodon,0,,
Elmerina,0,,
Hapalopilus,0,,
Foraminispora,0,,
Theleporus,0,,
Candelabrochaete,0,,
Lindtneria,0,,
Stereopsis,0,,
Amylocorticium,0,,
Dextrinocystis,0,,
Phaeophlebiopsis,0,,
Cyanobasidium,0,,
Cerinomyces,0,,
Mycoacia,0,,
Ceratobasidium,0,,
Phaneroites,0,,
Epithele,0,,
Haiyanga,0,,
Antennospora,0,,
Mycosphaerella,0,,
Lulworthia,0,,
Thalassogena,0,,
Chadefaudia,0,,
Etheirophora,0,,
Leptosphaeria,0,,
Halomassarina,0,,
Tubulicium,0,,
Melanochlamys,0,,
Kiliophora,0,,
Phaeotremella,0,,
Topeliopsis,0,,
Neosergipea,0,,
Marcelaria,0,,
Inocutis,0,,
Cyclomyces,0,,
Sarcoscypha,0,,
Nigrohydnum,0,,
Grammothele,0,,
Meruliopsis,0,,
Nomuraea,0,,
Sporisorium,0,,
Flavoplaca,0,,
Rhinocladiella,0,,
Perenniporiella,0,,
Austroboletus,0,,
Xanthoconium,0,,
Porphyrellus,0,,
Bilimbia,0,,
Microtheliopsis,0,,
Catinaria,0,,
Aulaxina,0,,
Brasilicia,0,,
Aspidothelium,0,,
Thelenella,0,,
Segestria,0,,
Gomphillus,0,,
Eugeniella,0,,
Platygraphopsis,0,,
Bapalmuia,0,,
Badimia,0,,
Calenia,0,,
Eremothecella,0,,
Sporopodium,0,,
Aderkomyces,0,,
Bondarzewia,0,,
Zahlbrucknerella,0,,
Relicina,0,,
Laurera,0,,
Sulzbacheromyces,0,,
Crocodia,0,,
Xenoacremonium,0,,
Cylindrocladiella,0,,
Torula,0,,
Truncatella,0,,
Mortierella,0,,
Coniothyrium,0,,
Apiotrichum,0,,
Umbelopsis,0,,
Diplogelasinospora,0,,
Drechslera,0,,
Geomyces,0,,
Preussia,0,,
Agonimia,0,,
Acrocordia,0,,
Remototrachyna,0,,
Melanotheca,0,,
Xylographa,0,,
Hypocenomyce,0,,
Verrucaria,0,,
Guepiniopsis,0,,
Achroomyces,0,,
Bellicidia,0,,
Grovesia,0,,
Phlyctella,0,,
Paraphaeosphaeria,0,,
Xylotumulus,0,,
Exophiala,0,,
Malassezia,0,,
Bipolaris,0,,
Eleutherascus,0,,
Lophiostoma,0,,
Pseudolophiostoma,0,,
Didymella,0,,
Simplicidiella,0,,
Strelitziana,0,,
Cyphellophora,0,,
Chaetospermum,0,,
Parasarocladium,0,,
Parastagonospora,0,,
Neodevriesia,0,,
Phaeosphaeria,0,,
Chaetosphaeria,0,,
Pseudotaeniolina,0,,
Ramichloridium,0,,
Capnodium,0,,
Trametopsis,0,,
Exobasidium,0,,
Paracamarosporium,0,,
Rachicladosporium,0,,
Hebeloma,0,,
Loweporus,0,,
Lachancea,0,,
Neomyrmecridium,0,,
Knufia,0,,
Hortaea,0,,
Strobilurus,0,,
Myrmecridium,0,,
Hasegawazyma,0,,
Moesziomyces,0,,
Gloeocercospora,0,,
Westerdykella,0,,
Microdochium,0,,
Efibula,0,,
Ceriporiopsis,0,,
Valsonectria,0,,
Neomyrothecium,0,,
Cryptomarasmius,0,,
Penicillifer,0,,
Tubercularia,0,,
Gyrophanopsis,0,,
Choanephora,0,,
Euteratosphaeria,0,,
Conlarium,0,,
Emericellopsis,0,,
Neottiosporina,0,,
Nalanthamala,0,,
Collarina,0,,
Toxicocladosporium,0,,
Punctulariopsis,0,,
Coniosporium,0,,
Albifimbria,0,,
Rhizophlyctis,0,,
Ophioceras,0,,
Eichleriella,0,,
Phoma,0,,
Coniella,0,,
Humicola,0,,
Gilbertella,0,,
Sympodiomycopsis,0,,
Rhodosporidiobolus,0,,
Heydenia,0,,
Myrothecium,0,,
Allophoma,0,,
Quambalaria,0,,
Crustomyces,0,,
Sakaguchia,0,,
Meira,0,,
Ophiosphaerella,0,,
Robillarda,0,,
Bisifusarium,0,,
Pseudoteratosphaeria,0,,
Eutypella,0,,
Neoroussoella,0,,
Stachybotrys,0,,
Xenodevriesia,0,,
Peroneutypa,0,,
Megasporoporiella,0,,
Ascotricha,0,,
Thecaphora,0,,
Hydnophlebia,0,,
Arthrocladium,0,,
Bartalinia,0,,
Amphilogia,0,,
Medicopsis,0,,
Physisporinus,0,,
Mrakia,0,,
Stollia,0,,
Corynespora,0,,
Macalpinomyces,0,,
Actinostilbe,0,,
Torulomyces,0,,
Cyberlindnera,0,,
Papiliotrema,0,,
Stagonospora,0,,
Didymocyrtis,0,,
Trichothecium,0,,
Sordaria,0,,
Lignosphaeria,0,,
Porocercospora,0,,
Edenia,0,,
Stypella,0,,
Galzinia,0,,
Ramimonilia,0,,
Stephanonectria,0,,
Ramicandelaber,0,,
Asteromella,0,,
Fusicolla,0,,
Helicoma,0,,
Wardomycopsis,0,,
Lithohypha,0,,
Vermispora,0,,
Paramycosphaerella,0,,
Neurospora,0,,
Phaeoacremonium,0,,
Rhizophydium,0,,
Pleurostoma,0,,
Podospora,0,,
Engyodontium,0,,
Striaticonidium,0,,
Scytalidium,0,,
Tzeanania,0,,
Phaeodothis,0,,
Glomosporium,0,,
